 u2ff3-u65e5-u5171-u7c73\@6                                                | u66b4   | 99:0:0:0:0:200:200:u31e56-jv
 u2ffb-u2ffb-u5343-u2ff4-u56d7-u4e37-u4e8c-itaiji-001\@1                   | u3013   | 99:0:0:15:69:115:127:u56d7@2$99:0:0:15:56:115:150:aj1-13981@1$99:0:0:8:2:116:56:u4e3f-03$99:0:0:7:7:122:105:u4e00@3$99:0:0:14:94:119:192:u4e00@3$1:32:32:65:32:65:168$2:0:7:18:179:63:170:112:161
 u2ffb-u2ffb-u5343-u2ff4-u56d7-u4e37-u4e8c-itaiji-001\@2                   | u3013   | 99:0:0:15:69:115:127:u56d7@2$99:0:0:15:56:115:150:aj1-13981@1$99:0:0:8:2:116:56:u4e3f-03$99:0:0:7:7:121:105:u4e00@5$99:0:0:14:94:119:192:u4e00@5$1:32:32:65:32:65:168$2:0:7:18:179:63:170:112:161
 u2ffb-u2ffb-u5343-u2ff4-u56d7-u4e37-u4e8c-itaiji-001\@3                   | u3013   | 99:0:0:15:69:115:127:u56d7@2$99:0:0:12:53:118:149:aj1-13981@5$99:0:0:8:2:116:56:u4e3f-03$99:0:0:7:7:121:105:u4e00@5$99:0:0:14:94:119:192:u4e00@5$1:32:32:65:32:65:168$2:0:7:18:179:63:170:112:161
 u2ffb-u2ffb-u5343-u2ff4-u56d7-u4e37-u4e8c-itaiji-001\@4                   | u3013   | 99:0:0:15:69:115:127:u56d7@4$99:0:0:12:53:118:149:aj1-13981@5$99:0:0:8:2:116:56:u4e3f-03$99:0:0:7:7:121:105:u4e00@7$99:0:0:14:94:119:192:u4e00@7$1:32:32:65:32:65:168$2:0:7:18:179:63:170:112:161
 u2ffb-u2ffb-u5343-u2ff4-u56d7-u4e37-u4e8c-itaiji-001\@5                   | u3013   | 99:0:0:15:69:115:127:u56d7@4$99:0:0:12:53:118:149:aj1-13981@5$99:0:0:8:2:116:56:u4e3f-03$99:0:0:7:7:120:105:u4e00@14$99:0:0:14:94:119:192:u4e00@14$1:32:32:65:32:65:168$2:0:7:18:179:63:170:112:161
 u2ff1-u6544-u529b\@1                                                      | u3013   | 99:0:0:0:-2:200:219:u6544-03@1$99:0:0:0:0:200:200:u529b-04
 u2ff1-u6544-u529b\@2                                                      | u52d9   | 99:0:0:0:-2:200:219:u6544-03@1$99:0:0:0:0:200:200:u529b-04
 u2ff1-u6544-u529b\@3                                                      | u52d9   | 99:0:0:0:-1:200:219:u6544-03@2$99:0:0:0:0:200:200:u529b-04
 u2ff1-u6544-u529b\@4                                                      | u52d9   | 99:0:0:0:-1:200:213:u6544-03@3$99:0:0:0:0:200:200:u529b-04
 u2ff1-u6544-u529b\@5                                                      | u52d9   | 99:0:0:0:-1:200:220:u6544-03-var-002@1$99:0:0:0:0:200:200:u529b-04
 u2ff1-u6544-u529b\@6                                                      | u20778  | 99:0:0:0:-1:200:220:u6544-03-var-002@1$99:0:0:0:0:200:200:u529b-04
 u2ff1-u6544-u529b\@7                                                      | u20778  | 99:0:0:0:0:200:200:u2d136-jv@2
 u53d6-07-itaiji-001\@1                                                    | u53d6   | 1:0:0:14:30:184:30$1:32:32:37:30:37:151$1:2:2:37:67:80:67$1:2:2:37:108:80:108$2:0:7:15:158:46:149:80:141$1:32:0:80:30:80:185$99:0:0:80:26:201:185:u53c8-07-var-001
